 Candidate State, Age Range, Sex, Study area, Study Title, Years Experience, Sector, event_type__val,Expected Ral, Residence State, Residence Italian Region, European Residence
Hired,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Automotive,BM interview,24-26 K,ITALY,Piedmont,Yes
Vivier,early 40s,Female,computer engineering,Five-year degree,between 7 and 10,Aeronautics,Candidate notification,26-28 K,ITALY,Puglia,Yes
QM,late 30s,Male,chemical engineering,Five-year degree,between 3 and 5,Consulting,Qualification Meeting,Not Given,ITALY,Campania,Yes
QM,more than 45 years,Male,Legal,Five-year degree,between 7 and 10,Telecom,Qualification Meeting,20-22 K,ITALY,Lombardy,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Automotive,BM interview,24-26 K,ITALY,Sicily,Yes
In selection,late 30s,Male,Telecommunications Engineering,Five-year degree,between 3 and 5,Telecom,Technical interview,28-30 K,ITALY,Lombardy,Yes
Hired,early 30s,Female,Economic - Statistics,Five-year degree,between 5 and 7,Others,HR interview,22-24 K,ITALY,Piedmont,Yes
Vivier,late 30s,Male,Materials Science and Engineering,Five-year degree,between 5 and 7,Space,BM interview,30-32 K,ITALY,Lazio,Yes
Hired,late 30s,Male,Other scientific subjects,Five-year degree,between 1 and 3,Life sciences,BM interview,28-30 K,ITALY,Marche,Yes
First contact,late 30s,Male,Biomedical Engineering,Five-year degree,between 5 and 7,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
In selection,early 40s,Male,electronic Engineering,Five-year degree,between 3 and 5,Not Specified,Contact note,Not Given,ITALY,Tuscany,Yes
Hired,late 30s,Male,electronic Engineering,Five-year degree,between 3 and 5,Consulting,BM interview,20-22 K,ITALY,Abruzzo,Yes
Hired,late 30s,Female,Telecommunications Engineering,Doctorate,more than 10,Others,Candidate notification,Not Given,ITALY,Tuscany,Yes
In selection,early 30s,Male,Information Engineering,Five-year degree,between 3 and 5,Others,HR interview,44-46 K,ITALY,Puglia,Yes
Hired,early 40s,Male,Automation/Mechatronics Engineering,Five-year degree,between 5 and 7,Others,HR interview,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Male,Information Engineering,Five-year degree,between 3 and 5,Consulting,CV request,Not Given,ITALY,Lazio,Yes
In selection,early 30s,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Telecom,CV request,40-42 K,ITALY,Tuscany,Yes
Hired,early 30s,Male,Information Engineering,Five-year degree,between 1 and 3,Others,BM interview,Not Given,ITALY,Puglia,Yes
Hired,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Consulting,BM interview,32-34 K,ITALY,Sicily,Yes
QM,early 30s,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Aeronautics,Inadequate CV,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 3 and 5,Not Specified,Candidate notification,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Male,electronic Engineering,Five-year degree,between 1 and 3,Others,BM interview,24-26 K,ITALY,Tuscany,Yes
Hired,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Space,Candidate notification,34-36 K,GERMANY,Not Italian Region,Yes
Hired,more than 45 years,Male,Other scientific subjects,High school graduation,more than 10,Railway,HR interview,32-34 K,ITALY,Emilia Romagna,Yes
Economic proposal,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Others,Economic proposal,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Defence,BM interview,Not Given,ITALY,Tuscany,Yes
In selection,early 30s,Male,Information Engineering,Five-year degree,between 3 and 5,Not Specified,BM interview,Not Given,ITALY,Tuscany,Yes
In selection,early 30s,Female,Biomedical Engineering,Five-year degree,between 3 and 5,Life sciences,Contact note,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Male,electronic Engineering,Three-year degree,between 5 and 7,Not Specified,HR interview,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 20s,Female,Biomedical Engineering,Three-year degree,between 0 and 1,Not Specified,Contact note,Not Given,ITALY,Puglia,Yes
QM,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 0 and 1,Naval,Contact note,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Female,Automation/Mechatronics Engineering,Five-year degree,between 5 and 7,Others,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,early 30s,Female,Telecommunications Engineering,Three-year degree,between 0 and 1,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
